MPG,Cylinders,HorsePower,Weight,Acceleration,ModelYear,Brand,Name
18,8,130,3504,12,70,chevrolet,chevrolet chevelle malibu
15,8,165,3693,11.5,70,buick,buick skylark 320
18,8,150,3436,11,70,plymouth,plymouth satellite
16,8,150,3433,12,70,amc,amc rebel sst
17,8,140,3449,10.5,70,ford,ford torino
15,8,198,4341,10,70,ford,ford galaxie 500
14,8,220,4354,9,70,chevrolet,chevrolet impala
14,8,215,4312,8.5,70,plymouth,plymouth fury iii
14,8,225,4425,10,70,pontiac,pontiac catalina
15,8,190,3850,8.5,70,amc,amc ambassador dpl
15,8,170,3563,10,70,dodge,dodge challenger se
14,8,160,3609,8,70,plymouth,plymouth 'cuda 340
15,8,150,3761,9.5,70,chevrolet,chevrolet monte carlo
14,8,225,3086,10,70,buick,buick estate wagon (sw)
24,4,95,2372,15,70,toyota,toyota corona mark ii
22,6,95,2833,15.5,70,plymouth,plymouth duster
18,6,97,2774,15.5,70,amc,amc hornet
21,6,85,2587,16,70,ford,ford maverick
27,4,88,2130,14.5,70,datsun,datsun pl510
26,4,46,1835,20.5,70,volkswagen,volkswagen 1131 deluxe sedan
25,4,87,2672,17.5,70,peugeot,peugeot 504
24,4,90,2430,14.5,70,audi,audi 100 ls
25,4,95,2375,17.5,70,saab,saab 99e
26,4,113,2234,12.5,70,bmw,bmw 2002
21,6,90,2648,15,70,amc,amc gremlin
10,8,215,4615,14,70,ford,ford f250
10,8,200,4376,15,70,chevy,chevy c20
11,8,210,4382,13.5,70,dodge,dodge d200
9,8,193,4732,18.5,70,hi,hi 1200d
27,4,88,2130,14.5,71,datsun,datsun pl510
28,4,90,2264,15.5,71,chevrolet,chevrolet vega 2300
25,4,95,2228,14,71,toyota,toyota corona
25,4,?,2046,19,71,ford,ford pinto
19,6,100,2634,13,71,amc,amc gremlin
16,6,105,3439,15.5,71,plymouth,plymouth satellite custom
17,6,100,3329,15.5,71,chevrolet,chevrolet chevelle malibu
19,6,88,3302,15.5,71,ford,ford torino 500
18,6,100,3288,15.5,71,amc,amc matador
14,8,165,4209,12,71,chevrolet,chevrolet impala
14,8,175,4464,11.5,71,pontiac,pontiac catalina brougham
14,8,153,4154,13.5,71,ford,ford galaxie 500
14,8,150,4096,13,71,plymouth,plymouth fury iii
12,8,180,4955,11.5,71,dodge,dodge monaco (sw)
13,8,170,4746,12,71,ford,ford country squire (sw)
13,8,175,5140,12,71,pontiac,pontiac safari (sw)
18,6,110,2962,13.5,71,amc,amc hornet sportabout (sw)
22,4,72,2408,19,71,chevrolet,chevrolet vega (sw)
19,6,100,3282,15,71,pontiac,pontiac firebird
18,6,88,3139,14.5,71,ford,ford mustang
23,4,86,2220,14,71,mercury,mercury capri 2000
28,4,90,2123,14,71,opel,opel 1900
30,4,70,2074,19.5,71,peugeot,peugeot 304
30,4,76,2065,14.5,71,fiat,fiat 124b
31,4,65,1773,19,71,toyota,toyota corolla 1200
35,4,69,1613,18,71,datsun,datsun 1200
27,4,60,1834,19,71,volkswagen,volkswagen model 111
26,4,70,1955,20.5,71,plymouth,plymouth cricket
24,4,95,2278,15.5,72,toyota,toyota corona hardtop
25,4,80,2126,17,72,dodge,dodge colt hardtop
23,4,54,2254,23.5,72,volkswagen,volkswagen type 3
20,4,90,2408,19.5,72,chevrolet,chevrolet vega
21,4,86,2226,16.5,72,ford,ford pinto runabout
13,8,165,4274,12,72,chevrolet,chevrolet impala
14,8,175,4385,12,72,pontiac,pontiac catalina
15,8,150,4135,13.5,72,plymouth,plymouth fury iii
14,8,153,4129,13,72,ford,ford galaxie 500
17,8,150,3672,11.5,72,amc,amc ambassador sst
11,8,208,4633,11,72,mercury,mercury marquis
13,8,155,4502,13.5,72,buick,buick lesabre custom
12,8,160,4456,13.5,72,oldsmobile,oldsmobile delta 88 royale
13,8,190,4422,12.5,72,chrysler,chrysler newport royal
19,3,97,2330,13.5,72,mazda,mazda rx2 coupe
15,8,150,3892,12.5,72,amc,amc matador (sw)
13,8,130,4098,14,72,chevrolet,chevrolet chevelle concours (sw)
13,8,140,4294,16,72,ford,ford gran torino (sw)
14,8,150,4077,14,72,plymouth,plymouth satellite custom (sw)
18,4,112,2933,14.5,72,volvo,volvo 145e (sw)
22,4,76,2511,18,72,volkswagen,volkswagen 411 (sw)
21,4,87,2979,19.5,72,peugeot,peugeot 504 (sw)
26,4,69,2189,18,72,renault,renault 12 (sw)
22,4,86,2395,16,72,ford,ford pinto (sw)
28,4,92,2288,17,72,datsun,datsun 510 (sw)
23,4,97,2506,14.5,72,toyouta,toyouta corona mark ii (sw)
28,4,80,2164,15,72,dodge,dodge colt (sw)
27,4,88,2100,16.5,72,toyota,toyota corolla 1600 (sw)
13,8,175,4100,13,73,buick,buick century 350
14,8,150,3672,11.5,73,amc,amc matador
13,8,145,3988,13,73,chevrolet,chevrolet malibu
14,8,137,4042,14.5,73,ford,ford gran torino
15,8,150,3777,12.5,73,dodge,dodge coronet custom
12,8,198,4952,11.5,73,mercury,mercury marquis brougham
13,8,150,4464,12,73,chevrolet,chevrolet caprice classic
13,8,158,4363,13,73,ford,ford ltd
14,8,150,4237,14.5,73,plymouth,plymouth fury gran sedan
13,8,215,4735,11,73,chrysler,chrysler new yorker brougham
12,8,225,4951,11,73,buick,buick electra 225 custom
13,8,175,3821,11,73,amc,amc ambassador brougham
18,6,105,3121,16.5,73,plymouth,plymouth valiant
16,6,100,3278,18,73,chevrolet,chevrolet nova custom
18,6,100,2945,16,73,amc,amc hornet
18,6,88,3021,16.5,73,ford,ford maverick
23,6,95,2904,16,73,plymouth,plymouth duster
26,4,46,1950,21,73,volkswagen,volkswagen super beetle
11,8,150,4997,14,73,chevrolet,chevrolet impala
12,8,167,4906,12.5,73,ford,ford country
13,8,170,4654,13,73,plymouth,plymouth custom suburb
12,8,180,4499,12.5,73,oldsmobile,oldsmobile vista cruiser
18,6,100,2789,15,73,amc,amc gremlin
20,4,88,2279,19,73,toyota,toyota carina
21,4,72,2401,19.5,73,chevrolet,chevrolet vega
22,4,94,2379,16.5,73,datsun,datsun 610
18,3,90,2124,13.5,73,maxda,maxda rx3
19,4,85,2310,18.5,73,ford,ford pinto
21,6,107,2472,14,73,mercury,mercury capri v6
26,4,90,2265,15.5,73,fiat,fiat 124 sport coupe
15,8,145,4082,13,73,chevrolet,chevrolet monte carlo s
16,8,230,4278,9.5,73,pontiac,pontiac grand prix
29,4,49,1867,19.5,73,fiat,fiat 128
24,4,75,2158,15.5,73,opel,opel manta
20,4,91,2582,14,73,audi,audi 100ls
19,4,112,2868,15.5,73,volvo,volvo 144ea
15,8,150,3399,11,73,dodge,dodge dart custom
24,4,110,2660,14,73,saab,saab 99le
20,6,122,2807,13.5,73,toyota,toyota mark ii
11,8,180,3664,11,73,oldsmobile,oldsmobile omega
20,6,95,3102,16.5,74,plymouth,plymouth duster
21,6,?,2875,17,74,ford,ford maverick
19,6,100,2901,16,74,amc,amc hornet
15,6,100,3336,17,74,chevrolet,chevrolet nova
31,4,67,1950,19,74,datsun,datsun b210
26,4,80,2451,16.5,74,ford,ford pinto
32,4,65,1836,21,74,toyota,toyota corolla 1200
25,4,75,2542,17,74,chevrolet,chevrolet vega
16,6,100,3781,17,74,chevrolet,chevrolet chevelle malibu classic
16,6,110,3632,18,74,amc,amc matador
18,6,105,3613,16.5,74,plymouth,plymouth satellite sebring
16,8,140,4141,14,74,ford,ford gran torino
13,8,150,4699,14.5,74,buick,buick century luxus (sw)
14,8,150,4457,13.5,74,dodge,dodge coronet custom (sw)
14,8,140,4638,16,74,ford,ford gran torino (sw)
14,8,150,4257,15.5,74,amc,amc matador (sw)
29,4,83,2219,16.5,74,audi,audi fox
26,4,67,1963,15.5,74,volkswagen,volkswagen dasher
26,4,78,2300,14.5,74,opel,opel manta
31,4,52,1649,16.5,74,toyota,toyota corona
32,4,61,2003,19,74,datsun,datsun 710
28,4,75,2125,14.5,74,dodge,dodge colt
24,4,75,2108,15.5,74,fiat,fiat 128
26,4,75,2246,14,74,fiat,fiat 124 tc
24,4,97,2489,15,74,honda,honda civic
26,4,93,2391,15.5,74,#VALUE!,subaru
31,4,67,2000,16,74,fiat,fiat x1.9
19,6,95,3264,16,75,plymouth,plymouth valiant custom
18,6,105,3459,16,75,chevrolet,chevrolet nova
15,6,72,3432,21,75,mercury,mercury monarch
15,6,72,3158,19.5,75,ford,ford maverick
16,8,170,4668,11.5,75,pontiac,pontiac catalina
15,8,145,4440,14,75,chevrolet,chevrolet bel air
16,8,150,4498,14.5,75,plymouth,plymouth grand fury
14,8,148,4657,13.5,75,ford,ford ltd
17,6,110,3907,21,75,buick,buick century
16,6,105,3897,18.5,75,chevroelt,chevroelt chevelle malibu
15,6,110,3730,19,75,amc,amc matador
18,6,95,3785,19,75,plymouth,plymouth fury
21,6,110,3039,15,75,buick,buick skyhawk
20,8,110,3221,13.5,75,chevrolet,chevrolet monza 2+2
13,8,129,3169,12,75,ford,ford mustang ii
29,4,75,2171,16,75,toyota,toyota corolla
23,4,83,2639,17,75,ford,ford pinto
20,6,100,2914,16,75,amc,amc gremlin
23,4,78,2592,18.5,75,pontiac,pontiac astro
24,4,96,2702,13.5,75,toyota,toyota corona
25,4,71,2223,16.5,75,volkswagen,volkswagen dasher
24,4,97,2545,17,75,datsun,datsun 710
18,6,97,2984,14.5,75,ford,ford pinto
29,4,70,1937,14,75,volkswagen,volkswagen rabbit
19,6,90,3211,17,75,amc,amc pacer
23,4,95,2694,15,75,audi,audi 100ls
23,4,88,2957,17,75,peugeot,peugeot 504
22,4,98,2945,14.5,75,volvo,volvo 244dl
25,4,115,2671,13.5,75,saab,saab 99le
33,4,53,1795,17.5,75,honda,honda civic cvcc
28,4,86,2464,15.5,76,fiat,fiat 131
25,4,81,2220,16.9,76,opel,opel 1900
25,4,92,2572,14.9,76,capri,capri ii
26,4,79,2255,17.7,76,dodge,dodge colt
27,4,83,2202,15.3,76,renault,renault 12tl
17.5,8,140,4215,13,76,chevrolet,chevrolet chevelle malibu classic
16,8,150,4190,13,76,dodge,dodge coronet brougham
15.5,8,120,3962,13.9,76,amc,amc matador
14.5,8,152,4215,12.8,76,ford,ford gran torino
22,6,100,3233,15.4,76,plymouth,plymouth valiant
22,6,105,3353,14.5,76,chevrolet,chevrolet nova
24,6,81,3012,17.6,76,ford,ford maverick
22.5,6,90,3085,17.6,76,amc,amc hornet
29,4,52,2035,22.2,76,chevrolet,chevrolet chevette
24.5,4,60,2164,22.1,76,chevrolet,chevrolet woody
29,4,70,1937,14.2,76,vw,vw rabbit
33,4,53,1795,17.4,76,honda,honda civic
20,6,100,3651,17.7,76,dodge,dodge aspen se
18,6,78,3574,21,76,ford,ford granada ghia
18.5,6,110,3645,16.2,76,pontiac,pontiac ventura sj
17.5,6,95,3193,17.8,76,amc,amc pacer d/l
29.5,4,71,1825,12.2,76,volkswagen,volkswagen rabbit
32,4,70,1990,17,76,datsun,datsun b-210
28,4,75,2155,16.4,76,toyota,toyota corolla
26.5,4,72,2565,13.6,76,ford,ford pinto
20,4,102,3150,15.7,76,volvo,volvo 245
13,8,150,3940,13.2,76,plymouth,plymouth volare premier v8
19,4,88,3270,21.9,76,peugeot,peugeot 504
19,6,108,2930,15.5,76,toyota,toyota mark ii
16.5,6,120,3820,16.7,76,mercedes-benz,mercedes-benz 280s
16.5,8,180,4380,12.1,76,cadillac,cadillac seville
13,8,145,4055,12,76,chevy,chevy c10
13,8,130,3870,15,76,ford,ford f108
13,8,150,3755,14,76,dodge,dodge d100
31.5,4,68,2045,18.5,77,honda,honda accord cvcc
30,4,80,2155,14.8,77,buick,buick opel isuzu deluxe
36,4,58,1825,18.6,77,renault,renault 5 gtl
25.5,4,96,2300,15.5,77,plymouth,plymouth arrow gs
33.5,4,70,1945,16.8,77,datsun,datsun f-10 hatchback
17.5,8,145,3880,12.5,77,chevrolet,chevrolet caprice classic
17,8,110,4060,19,77,oldsmobile,oldsmobile cutlass supreme
15.5,8,145,4140,13.7,77,dodge,dodge monaco brougham
15,8,130,4295,14.9,77,mercury,mercury cougar brougham
17.5,6,110,3520,16.4,77,chevrolet,chevrolet concours
20.5,6,105,3425,16.9,77,buick,buick skylark
19,6,100,3630,17.7,77,plymouth,plymouth volare custom
18.5,6,98,3525,19,77,ford,ford granada
16,8,180,4220,11.1,77,pontiac,pontiac grand prix lj
15.5,8,170,4165,11.4,77,chevrolet,chevrolet monte carlo landau
15.5,8,190,4325,12.2,77,chrysler,chrysler cordoba
16,8,149,4335,14.5,77,ford,ford thunderbird
29,4,78,1940,14.5,77,volkswagen,volkswagen rabbit custom
24.5,4,88,2740,16,77,pontiac,pontiac sunbird coupe
26,4,75,2265,18.2,77,toyota,toyota corolla liftback
25.5,4,89,2755,15.8,77,ford,ford mustang ii 2+2
30.5,4,63,2051,17,77,chevrolet,chevrolet chevette
33.5,4,83,2075,15.9,77,dodge,dodge colt m/m
30,4,67,1985,16.4,77,subaru,subaru dl
30.5,4,78,2190,14.1,77,volkswagen,volkswagen dasher
22,6,97,2815,14.5,77,datsun,datsun 810
21.5,4,110,2600,12.8,77,bmw,bmw 320i
21.5,3,110,2720,13.5,77,mazda,mazda rx-4
43.1,4,48,1985,21.5,78,volkswagen,volkswagen rabbit custom diesel
36.1,4,66,1800,14.4,78,ford,ford fiesta
32.8,4,52,1985,19.4,78,mazda,mazda glc deluxe
39.4,4,70,2070,18.6,78,datsun,datsun b210 gx
36.1,4,60,1800,16.4,78,honda,honda civic cvcc
19.9,8,110,3365,15.5,78,oldsmobile,oldsmobile cutlass salon brougham
19.4,8,140,3735,13.2,78,dodge,dodge diplomat
20.2,8,139,3570,12.8,78,mercury,mercury monarch ghia
19.2,6,105,3535,19.2,78,pontiac,pontiac phoenix lj
20.5,6,95,3155,18.2,78,chevrolet,chevrolet malibu
20.2,6,85,2965,15.8,78,ford,ford fairmont (auto)
25.1,4,88,2720,15.4,78,ford,ford fairmont (man)
20.5,6,100,3430,17.2,78,plymouth,plymouth volare
19.4,6,90,3210,17.2,78,amc,amc concord
20.6,6,105,3380,15.8,78,buick,buick century special
20.8,6,85,3070,16.7,78,mercury,mercury zephyr
18.6,6,110,3620,18.7,78,dodge,dodge aspen
18.1,6,120,3410,15.1,78,amc,amc concord d/l
19.2,8,145,3425,13.2,78,chevrolet,chevrolet monte carlo landau
17.7,6,165,3445,13.4,78,buick,buick regal sport coupe (turbo)
18.1,8,139,3205,11.2,78,ford,ford futura
17.5,8,140,4080,13.7,78,dodge,dodge magnum xe
30,4,68,2155,16.5,78,chevrolet,chevrolet chevette
27.5,4,95,2560,14.2,78,toyota,toyota corona
27.2,4,97,2300,14.7,78,datsun,datsun 510
30.9,4,75,2230,14.5,78,dodge,dodge omni
21.1,4,95,2515,14.8,78,toyota,toyota celica gt liftback
23.2,4,105,2745,16.7,78,plymouth,plymouth sapporo
23.8,4,85,2855,17.6,78,oldsmobile,oldsmobile starfire sx
23.9,4,97,2405,14.9,78,datsun,datsun 200-sx
20.3,5,103,2830,15.9,78,audi,audi 5000
17,6,125,3140,13.6,78,volvo,volvo 264gl
21.6,4,115,2795,15.7,78,saab,saab 99gle
16.2,6,133,3410,15.8,78,peugeot,peugeot 604sl
31.5,4,71,1990,14.9,78,volkswagen,volkswagen scirocco
29.5,4,68,2135,16.6,78,honda,honda accord lx
21.5,6,115,3245,15.4,79,pontiac,pontiac lemans v6
19.8,6,85,2990,18.2,79,mercury,mercury zephyr 6
22.3,4,88,2890,17.3,79,ford,ford fairmont 4
20.2,6,90,3265,18.2,79,amc,amc concord dl 6
20.6,6,110,3360,16.6,79,dodge,dodge aspen 6
17,8,130,3840,15.4,79,chevrolet,chevrolet caprice classic
17.6,8,129,3725,13.4,79,ford,ford ltd landau
16.5,8,138,3955,13.2,79,mercury,mercury grand marquis
18.2,8,135,3830,15.2,79,dodge,dodge st. regis
16.9,8,155,4360,14.9,79,buick,buick estate wagon (sw)
15.5,8,142,4054,14.3,79,ford,ford country squire (sw)
19.2,8,125,3605,15,79,chevrolet,chevrolet malibu classic (sw)
18.5,8,150,3940,13,79,chrysler,chrysler lebaron town @ country (sw)
31.9,4,71,1925,14,79,vw,vw rabbit custom
34.1,4,65,1975,15.2,79,maxda,maxda glc deluxe
35.7,4,80,1915,14.4,79,dodge,dodge colt hatchback custom
27.4,4,80,2670,15,79,amc,amc spirit dl
25.4,5,77,3530,20.1,79,mercedes,mercedes benz 300d
23,8,125,3900,17.4,79,cadillac,cadillac eldorado
27.2,4,71,3190,24.8,79,peugeot,peugeot 504
23.9,8,90,3420,22.2,79,oldsmobile,oldsmobile cutlass salon brougham
34.2,4,70,2200,13.2,79,plymouth,plymouth horizon
34.5,4,70,2150,14.9,79,plymouth,plymouth horizon tc3
31.8,4,65,2020,19.2,79,datsun,datsun 210
37.3,4,69,2130,14.7,79,fiat,fiat strada custom
28.4,4,90,2670,16,79,buick,buick skylark limited
28.8,6,115,2595,11.3,79,chevrolet,chevrolet citation
26.8,6,115,2700,12.9,79,oldsmobile,oldsmobile omega brougham
33.5,4,90,2556,13.2,79,pontiac,pontiac phoenix
41.5,4,76,2144,14.7,80,vw,vw rabbit
38.1,4,60,1968,18.8,80,toyota,toyota corolla tercel
32.1,4,70,2120,15.5,80,chevrolet,chevrolet chevette
37.2,4,65,2019,16.4,80,datsun,datsun 310
28,4,90,2678,16.5,80,chevrolet,chevrolet citation
26.4,4,88,2870,18.1,80,ford,ford fairmont
24.3,4,90,3003,20.1,80,amc,amc concord
19.1,6,90,3381,18.7,80,dodge,dodge aspen
34.3,4,78,2188,15.8,80,audi,audi 4000
29.8,4,90,2711,15.5,80,toyota,toyota corona liftback
31.3,4,75,2542,17.5,80,mazda,mazda 626
37,4,92,2434,15,80,datsun,datsun 510 hatchback
32.2,4,75,2265,15.2,80,toyota,toyota corolla
46.6,4,65,2110,17.9,80,mazda,mazda glc
27.9,4,105,2800,14.4,80,dodge,dodge colt
40.8,4,65,2110,19.2,80,datsun,datsun 210
44.3,4,48,2085,21.7,80,vw,vw rabbit c (diesel)
43.4,4,48,2335,23.7,80,vw,vw dasher (diesel)
36.4,5,67,2950,19.9,80,audi,audi 5000s (diesel)
30,4,67,3250,21.8,80,mercedes-benz,mercedes-benz 240d
44.6,4,67,1850,13.8,80,honda,honda civic 1500 gl
40.9,4,?,1835,17.3,80,renault,renault lecar deluxe
33.8,4,67,2145,18,80,subaru,subaru dl
29.8,4,62,1845,15.3,80,vokswagen,vokswagen rabbit
32.7,6,132,2910,11.4,80,datsun,datsun 280-zx
23.7,3,100,2420,12.5,80,mazda,mazda rx-7 gs
35,4,88,2500,15.1,80,triumph,triumph tr7 coupe
23.6,4,?,2905,14.3,80,ford,ford mustang cobra
32.4,4,72,2290,17,80,honda,honda accord
27.2,4,84,2490,15.7,81,plymouth,plymouth reliant
26.6,4,84,2635,16.4,81,buick,buick skylark
25.8,4,92,2620,14.4,81,dodge,dodge aries wagon (sw)
23.5,6,110,2725,12.6,81,chevrolet,chevrolet citation
30,4,84,2385,12.9,81,plymouth,plymouth reliant
39.1,4,58,1755,16.9,81,toyota,toyota starlet
39,4,64,1875,16.4,81,plymouth,plymouth champ
35.1,4,60,1760,16.1,81,honda,honda civic 1300
32.3,4,67,2065,17.8,81,#VALUE!,subaru
37,4,65,1975,19.4,81,datsun,datsun 210 mpg
37.7,4,62,2050,17.3,81,toyota,toyota tercel
34.1,4,68,1985,16,81,mazda,mazda glc 4
34.7,4,63,2215,14.9,81,plymouth,plymouth horizon 4
34.4,4,65,2045,16.2,81,ford,ford escort 4w
29.9,4,65,2380,20.7,81,ford,ford escort 2h
33,4,74,2190,14.2,81,volkswagen,volkswagen jetta
34.5,4,?,2320,15.8,81,renault,renault 18i
33.7,4,75,2210,14.4,81,honda,honda prelude
32.4,4,75,2350,16.8,81,toyota,toyota corolla
32.9,4,100,2615,14.8,81,datsun,datsun 200sx
31.6,4,74,2635,18.3,81,mazda,mazda 626
28.1,4,80,3230,20.4,81,peugeot,peugeot 505s turbo diesel
30.7,6,76,3160,19.6,81,volvo,volvo diesel
25.4,6,116,2900,12.6,81,toyota,toyota cressida
24.2,6,120,2930,13.8,81,datsun,datsun 810 maxima
22.4,6,110,3415,15.8,81,buick,buick century
26.6,8,105,3725,19,81,oldsmobile,oldsmobile cutlass ls
20.2,6,88,3060,17.1,81,ford,ford granada gl
17.6,6,85,3465,16.6,81,chrysler,chrysler lebaron salon
28,4,88,2605,19.6,82,chevrolet,chevrolet cavalier
27,4,88,2640,18.6,82,chevrolet,chevrolet cavalier wagon
34,4,88,2395,18,82,chevrolet,chevrolet cavalier 2-door
31,4,85,2575,16.2,82,pontiac,pontiac j2000 se hatchback
29,4,84,2525,16,82,dodge,dodge aries se
27,4,90,2735,18,82,pontiac,pontiac phoenix
24,4,92,2865,16.4,82,ford,ford fairmont futura
23,4,?,3035,20.5,82,amc,amc concord dl
36,4,74,1980,15.3,82,volkswagen,volkswagen rabbit l
37,4,68,2025,18.2,82,mazda,mazda glc custom l
31,4,68,1970,17.6,82,mazda,mazda glc custom
38,4,63,2125,14.7,82,plymouth,plymouth horizon miser
36,4,70,2125,17.3,82,mercury,mercury lynx l
36,4,88,2160,14.5,82,nissan,nissan stanza xe
36,4,75,2205,14.5,82,honda,honda accord
34,4,70,2245,16.9,82,toyota,toyota corolla
38,4,67,1965,15,82,honda,honda civic
32,4,67,1965,15.7,82,honda,honda civic (auto)
38,4,67,1995,16.2,82,datsun,datsun 310 gx
25,6,110,2945,16.4,82,buick,buick century limited
38,6,85,3015,17,82,oldsmobile,oldsmobile cutlass ciera (diesel)
26,4,92,2585,14.5,82,chrysler,chrysler lebaron medallion
22,6,112,2835,14.7,82,ford,ford granada l
32,4,96,2665,13.9,82,toyota,toyota celica gt
36,4,84,2370,13,82,dodge,dodge charger 2.2
27,4,90,2950,17.3,82,chevrolet,chevrolet camaro
27,4,86,2790,15.6,82,ford,ford mustang gl
44,4,52,2130,24.6,82,vw,vw pickup
32,4,84,2295,11.6,82,dodge,dodge rampage
28,4,79,2625,18.6,82,ford,ford ranger
31,4,82,2720,19.4,82,chevy,chevy s-10
